Squad,# Pl,Poss,90s,Touches_Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,League,Season
Tigre,29,53.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Unión,23,46.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Vélez Sarsfield,27,48.2,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2023
Arg Juniors,26,52.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Atlé Tucumán,24,50.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Banfield,27,44.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Barracas Central,24,44.9,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Belgrano,33,49.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Boca Juniors,29,54.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Cen. Córdoba–SdE,31,47.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Defensa y Just,30,51.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Deportivo Riestra,30,35.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Estudiantes–LP,29,55.8,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Gimnasia–LP,26,47.7,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Godoy Cruz,29,52.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Huracán,25,52.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Ind. Rivadavia,34,49.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Independiente,23,56.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Instituto,25,47.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Lanús,23,48.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Newell's OB,27,50.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Platense,26,45.5,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Racing Club,28,56.0,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
River Plate,27,61.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Rosario Central,26,49.7,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
San Lorenzo,30,49.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Sarmiento,30,42.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Talleres,28,51.1,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Tigre,28,50.4,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Unión,23,49.6,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
Vélez Sarsfield,26,55.3,14.0,,,,,,,,,,,,,,,,,,,,,Copa de la Liga,2024
