Squad,# Pl,90s,Att,PassTypes_Live,PassTypes_Dead,PassTypes_FK,PassTypes_TB,PassTypes_Sw,PassTypes_Crs,PassTypes_TI,PassTypes_CK,CornerKicks_In,CornerKicks_Out,CornerKicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,League,Season
San Lorenzo,29,14.0,,,,,,,259,,,,,,,,,Copa de la Liga,2022
Sarmiento,27,14.0,,,,,,,201,,,,,,,,,Copa de la Liga,2022
Talleres,30,14.0,,,,,,,230,,,,,,,,,Copa de la Liga,2022
Tigre,23,17.0,,,,,,,264,,,,,,,,,Copa de la Liga,2022
Unión,26,14.0,,,,,,,293,,,,,,,,,Copa de la Liga,2022
Vélez Sarsfield,27,14.0,,,,,,,298,,,,,,,,,Copa de la Liga,2022
Arg Juniors,27,14.0,,,,,,,322,,,,,,,,,Copa de la Liga,2023
Arsenal,31,14.0,,,,,,,304,,,,,,,,,Copa de la Liga,2023
Atlé Tucumán,25,14.0,,,,,,,222,,,,,,,,,Copa de la Liga,2023
Banfield,23,14.0,,,,,,,271,,,,,,,,,Copa de la Liga,2023
Barracas Central,28,14.0,,,,,,,252,,,,,,,,,Copa de la Liga,2023
Belgrano,30,14.0,,,,,,,219,,,,,,,,,Copa de la Liga,2023
Boca Juniors,31,14.0,,,,,,,279,,,,,,,,,Copa de la Liga,2023
Cen. Córdoba–SdE,28,14.0,,,,,,,258,,,,,,,,,Copa de la Liga,2023
Colón,25,14.0,,,,,,,194,,,,,,,,,Copa de la Liga,2023
Defensa y Just,32,14.0,,,,,,,268,,,,,,,,,Copa de la Liga,2023
Estudiantes–LP,32,14.0,,,,,,,280,,,,,,,,,Copa de la Liga,2023
Gimnasia–LP,26,14.0,,,,,,,320,,,,,,,,,Copa de la Liga,2023
Godoy Cruz,23,14.0,,,,,,,194,,,,,,,,,Copa de la Liga,2023
Huracán,26,14.0,,,,,,,248,,,,,,,,,Copa de la Liga,2023
Independiente,27,14.0,,,,,,,291,,,,,,,,,Copa de la Liga,2023
Instituto,28,14.0,,,,,,,307,,,,,,,,,Copa de la Liga,2023
Lanús,27,14.0,,,,,,,265,,,,,,,,,Copa de la Liga,2023
Newell's OB,28,14.0,,,,,,,265,,,,,,,,,Copa de la Liga,2023
Platense,25,14.0,,,,,,,299,,,,,,,,,Copa de la Liga,2023
Racing Club,34,14.0,,,,,,,274,,,,,,,,,Copa de la Liga,2023
River Plate,27,14.0,,,,,,,314,,,,,,,,,Copa de la Liga,2023
Rosario Central,27,14.0,,,,,,,285,,,,,,,,,Copa de la Liga,2023
