Squad,# Pl,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,League,Season
Godoy Cruz,26,13.0,34,0,0,237,143,24,228,176,171,1.0,3.0,0,Copa de la Liga,2021
Huracán,27,13.0,30,2,0,197,174,18,298,142,131,0.0,0.0,1,Copa de la Liga,2021
Independiente,27,15.3,32,1,1,192,227,29,205,188,144,0.0,4.0,0,Copa de la Liga,2021
Lanús,24,13.0,37,2,2,196,204,22,239,166,146,4.0,1.0,0,Copa de la Liga,2021
Newell's OB,31,13.0,42,2,1,200,181,32,186,156,135,1.0,1.0,0,Copa de la Liga,2021
Patronato,29,13.0,33,0,0,182,135,18,280,168,158,0.0,3.0,1,Copa de la Liga,2021
Platense,27,13.0,32,3,3,187,198,28,219,184,118,2.0,2.0,0,Copa de la Liga,2021
Racing Club,31,16.3,39,2,2,213,208,23,315,196,151,1.0,0.0,0,Copa de la Liga,2021
River Plate,28,14.3,32,1,1,214,172,44,364,154,141,0.0,1.0,0,Copa de la Liga,2021
Rosario Central,26,13.0,44,5,3,213,214,25,271,144,126,1.0,2.0,0,Copa de la Liga,2021
San Lorenzo,31,13.0,33,1,1,206,238,25,290,182,138,2.0,1.0,0,Copa de la Liga,2021
Sarmiento,29,13.0,33,1,1,189,173,23,246,172,169,0.0,1.0,0,Copa de la Liga,2021
Talleres,25,14.3,40,5,2,215,161,27,255,177,151,1.0,4.0,1,Copa de la Liga,2021
Unión,26,13.0,27,1,0,179,170,24,252,176,124,1.0,2.0,0,Copa de la Liga,2021
Vélez Sarsfield,27,14.0,25,1,0,163,216,23,227,153,166,2.0,0.0,0,Copa de la Liga,2021
Aldosivi,26,15.0,36,2,2,183,164,23,204,201,165,2.0,2.0,0,Copa de la Liga,2022
Arg Juniors,22,16.3,37,4,2,204,207,27,299,145,177,1.0,2.0,0,Copa de la Liga,2022
Arsenal,27,14.0,28,2,2,181,145,30,286,169,169,2.0,2.0,1,Copa de la Liga,2022
Atlé Tucumán,29,14.0,44,2,2,180,185,19,308,156,135,1.0,2.0,1,Copa de la Liga,2022
Banfield,29,14.0,46,3,3,195,171,35,279,169,156,2.0,3.0,2,Copa de la Liga,2022
Barracas Central,27,14.0,30,2,2,178,190,21,237,175,128,0.0,3.0,0,Copa de la Liga,2022
Boca Juniors,29,17.3,45,1,1,240,229,34,329,173,192,3.0,4.0,0,Copa de la Liga,2022
Cen. Córdoba–SdE,28,14.0,29,2,0,145,138,33,231,184,155,3.0,1.0,0,Copa de la Liga,2022
Colón,29,14.0,29,0,0,143,156,40,259,152,146,2.0,2.0,0,Copa de la Liga,2022
Defensa y Just,23,15.0,28,2,0,149,170,20,222,156,150,1.0,1.0,2,Copa de la Liga,2022
Estudiantes–LP,31,15.3,37,2,2,198,191,29,250,161,168,3.0,3.0,0,Copa de la Liga,2022
Gimnasia–LP,24,14.0,45,1,0,187,235,32,246,147,169,4.0,6.0,0,Copa de la Liga,2022
Godoy Cruz,23,14.0,37,5,2,195,120,24,292,131,169,3.0,4.0,2,Copa de la Liga,2022
Huracán,28,14.0,39,1,1,178,160,18,374,143,153,3.0,3.0,0,Copa de la Liga,2022
Independiente,31,14.0,38,2,1,182,168,26,328,127,153,0.0,3.0,0,Copa de la Liga,2022
Lanús,28,14.0,37,1,0,177,170,23,294,157,153,0.0,2.0,0,Copa de la Liga,2022
Newell's OB,28,14.0,48,1,0,225,180,27,279,141,155,3.0,2.0,0,Copa de la Liga,2022
Patronato,26,14.0,41,1,1,225,162,28,353,154,175,0.0,4.0,1,Copa de la Liga,2022
Platense,27,14.0,37,1,0,173,182,23,296,132,151,1.0,6.0,1,Copa de la Liga,2022
Racing Club,25,16.3,45,2,0,220,217,41,317,168,182,4.0,0.0,1,Copa de la Liga,2022
River Plate,26,15.0,26,0,0,187,178,25,282,152,175,5.0,2.0,1,Copa de la Liga,2022
Rosario Central,25,14.0,38,0,0,198,181,16,339,114,178,2.0,4.0,0,Copa de la Liga,2022
San Lorenzo,29,14.0,33,3,2,198,210,48,259,134,154,1.0,2.0,0,Copa de la Liga,2022
Sarmiento,27,14.0,44,2,1,228,182,30,201,130,114,0.0,3.0,2,Copa de la Liga,2022
Talleres,30,14.0,37,6,3,196,164,27,230,179,135,1.0,3.0,2,Copa de la Liga,2022
Tigre,23,17.0,35,1,1,208,206,27,264,185,230,2.0,2.0,0,Copa de la Liga,2022
Unión,26,14.0,39,2,2,184,170,18,293,140,124,2.0,3.0,0,Copa de la Liga,2022
Vélez Sarsfield,27,14.0,28,2,1,187,186,17,298,159,175,0.0,2.0,0,Copa de la Liga,2022
Arg Juniors,27,14.0,33,1,1,145,141,15,322,108,153,2.0,6.0,0,Copa de la Liga,2023
Arsenal,31,14.0,29,4,0,195,137,18,304,137,154,1.0,2.0,0,Copa de la Liga,2023
Atlé Tucumán,25,14.0,33,2,1,162,155,24,222,149,188,2.0,1.0,1,Copa de la Liga,2023
Banfield,23,14.0,34,0,0,177,162,22,271,158,163,1.0,2.0,0,Copa de la Liga,2023
Barracas Central,28,14.0,20,4,2,130,155,6,252,129,147,2.0,0.0,4,Copa de la Liga,2023
Belgrano,30,14.0,33,1,0,169,135,21,219,132,179,1.0,2.0,0,Copa de la Liga,2023
Boca Juniors,31,14.0,40,0,0,155,158,24,279,90,143,1.0,0.0,0,Copa de la Liga,2023
Cen. Córdoba–SdE,28,14.0,26,0,0,159,149,20,258,145,171,0.0,0.0,1,Copa de la Liga,2023
Colón,25,14.0,34,3,0,182,171,22,194,142,152,2.0,2.0,0,Copa de la Liga,2023
Defensa y Just,32,14.0,38,1,0,172,128,26,268,152,132,0.0,3.0,0,Copa de la Liga,2023
Estudiantes–LP,32,14.0,34,2,1,159,165,19,280,132,166,1.0,3.0,0,Copa de la Liga,2023
Gimnasia–LP,26,14.0,38,2,1,172,147,20,320,132,158,0.0,2.0,1,Copa de la Liga,2023
Godoy Cruz,23,14.0,38,2,1,190,144,20,194,127,153,0.0,1.0,0,Copa de la Liga,2023
Huracán,26,14.0,33,4,1,167,175,21,248,146,154,1.0,1.0,0,Copa de la Liga,2023
Independiente,27,14.0,37,0,0,181,169,20,291,139,180,1.0,1.0,1,Copa de la Liga,2023
Instituto,28,14.0,37,0,0,174,107,32,307,120,176,1.0,0.0,0,Copa de la Liga,2023
Lanús,27,14.0,30,7,2,165,167,23,265,149,163,1.0,1.0,2,Copa de la Liga,2023
Newell's OB,28,14.0,44,3,2,188,176,26,265,143,129,0.0,1.0,0,Copa de la Liga,2023
Platense,25,14.0,32,2,0,167,127,17,299,167,197,1.0,1.0,1,Copa de la Liga,2023
Racing Club,34,14.0,36,1,1,148,155,25,274,114,145,2.0,4.0,0,Copa de la Liga,2023
River Plate,27,14.0,36,1,1,161,187,16,314,101,181,1.0,1.0,1,Copa de la Liga,2023
Rosario Central,27,14.0,32,1,0,158,160,16,285,149,148,1.0,4.0,0,Copa de la Liga,2023
San Lorenzo,24,14.0,43,7,5,184,172,24,235,121,145,1.0,0.0,0,Copa de la Liga,2023
Sarmiento,28,14.0,46,2,2,179,163,22,187,129,156,1.0,3.0,0,Copa de la Liga,2023
Talleres,28,14.0,27,0,0,156,156,20,225,122,177,1.0,1.0,0,Copa de la Liga,2023
Tigre,29,14.0,27,0,0,139,158,25,297,112,141,0.0,0.0,1,Copa de la Liga,2023
Unión,23,14.0,32,2,1,162,202,12,319,118,144,0.0,2.0,0,Copa de la Liga,2023
Vélez Sarsfield,27,14.0,43,1,0,190,176,17,254,150,161,0.0,2.0,0,Copa de la Liga,2023
Arg Juniors,26,14.0,29,1,1,179,147,18,233,119,151,3.0,1.0,1,Copa de la Liga,2024
Atlé Tucumán,24,14.0,28,1,1,168,173,25,344,142,172,0.0,3.0,0,Copa de la Liga,2024
Banfield,27,14.0,28,1,0,171,156,34,332,133,165,0.0,2.0,0,Copa de la Liga,2024
