Squad,# Pl,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,A-xAG,KP,1/3,PPA,CrsPA,League,Season
Racing Club,25,16.3,,,,,,,,,,,,,,,17,,,,,,Copa de la Liga,2022
River Plate,26,15.0,,,,,,,,,,,,,,,18,,,,,,Copa de la Liga,2022
Rosario Central,25,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2022
San Lorenzo,29,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2022
Sarmiento,27,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2022
Talleres,30,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2022
Tigre,23,17.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2022
Unión,26,14.0,,,,,,,,,,,,,,,4,,,,,,Copa de la Liga,2022
Vélez Sarsfield,27,14.0,,,,,,,,,,,,,,,5,,,,,,Copa de la Liga,2022
Arg Juniors,27,14.0,,,,,,,,,,,,,,,14,,,,,,Copa de la Liga,2023
Arsenal,31,14.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2023
Atlé Tucumán,25,14.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2023
Banfield,23,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2023
Barracas Central,28,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2023
Belgrano,30,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2023
Boca Juniors,31,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2023
Cen. Córdoba–SdE,28,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2023
Colón,25,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2023
Defensa y Just,32,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2023
Estudiantes–LP,32,14.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2023
Gimnasia–LP,26,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2023
Godoy Cruz,23,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2023
Huracán,26,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2023
Independiente,27,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2023
Instituto,28,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2023
Lanús,27,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2023
Newell's OB,28,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2023
Platense,25,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2023
Racing Club,34,14.0,,,,,,,,,,,,,,,18,,,,,,Copa de la Liga,2023
River Plate,27,14.0,,,,,,,,,,,,,,,14,,,,,,Copa de la Liga,2023
Rosario Central,27,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2023
San Lorenzo,24,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2023
Sarmiento,28,14.0,,,,,,,,,,,,,,,5,,,,,,Copa de la Liga,2023
Talleres,28,14.0,,,,,,,,,,,,,,,11,,,,,,Copa de la Liga,2023
Tigre,29,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2023
Unión,23,14.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2023
Vélez Sarsfield,27,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2023
Arg Juniors,26,14.0,,,,,,,,,,,,,,,17,,,,,,Copa de la Liga,2024
Atlé Tucumán,24,14.0,,,,,,,,,,,,,,,6,,,,,,Copa de la Liga,2024
Banfield,27,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2024
Barracas Central,24,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2024
Belgrano,33,14.0,,,,,,,,,,,,,,,14,,,,,,Copa de la Liga,2024
Boca Juniors,29,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
Cen. Córdoba–SdE,31,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2024
Defensa y Just,30,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
Deportivo Riestra,30,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2024
Estudiantes–LP,29,14.0,,,,,,,,,,,,,,,16,,,,,,Copa de la Liga,2024
Gimnasia–LP,26,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2024
Godoy Cruz,29,14.0,,,,,,,,,,,,,,,13,,,,,,Copa de la Liga,2024
Huracán,25,14.0,,,,,,,,,,,,,,,7,,,,,,Copa de la Liga,2024
Ind. Rivadavia,34,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
Independiente,23,14.0,,,,,,,,,,,,,,,9,,,,,,Copa de la Liga,2024
Instituto,25,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
Lanús,23,14.0,,,,,,,,,,,,,,,14,,,,,,Copa de la Liga,2024
Newell's OB,27,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
Platense,26,14.0,,,,,,,,,,,,,,,2,,,,,,Copa de la Liga,2024
Racing Club,28,14.0,,,,,,,,,,,,,,,18,,,,,,Copa de la Liga,2024
River Plate,27,14.0,,,,,,,,,,,,,,,21,,,,,,Copa de la Liga,2024
Rosario Central,26,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2024
San Lorenzo,30,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2024
Sarmiento,30,14.0,,,,,,,,,,,,,,,8,,,,,,Copa de la Liga,2024
Talleres,28,14.0,,,,,,,,,,,,,,,17,,,,,,Copa de la Liga,2024
Tigre,28,14.0,,,,,,,,,,,,,,,5,,,,,,Copa de la Liga,2024
Unión,23,14.0,,,,,,,,,,,,,,,10,,,,,,Copa de la Liga,2024
Vélez Sarsfield,26,14.0,,,,,,,,,,,,,,,12,,,,,,Copa de la Liga,2024
